Date,IBM
04/02/2013,175.264618
05/02/2013,174.404617
06/02/2013,173.610077
07/02/2013,172.504578
08/02/2013,174.180069
11/02/2013,172.86731
12/02/2013,172.763687
13/02/2013,172.806885
14/02/2013,172.426849
15/02/2013,173.5755
19/02/2013,173.005524
20/02/2013,172.133209
21/02/2013,171.286835
22/02/2013,173.670517
25/02/2013,170.578659
26/02/2013,171.98642
27/02/2013,174.741425
28/02/2013,173.445984
01/03/2013,175.242355
04/03/2013,177.211472
05/03/2013,178.368729
06/03/2013,179.966476
07/03/2013,180.864685
08/03/2013,181.693787
11/03/2013,181.434692
12/03/2013,181.840591
13/03/2013,183.144684
14/03/2013,186.374741
15/03/2013,185.614716
18/03/2013,184.137909
19/03/2013,184.336502
20/03/2013,185.735626
21/03/2013,183.317413
22/03/2013,183.161987
25/03/2013,182.004684
26/03/2013,183.403839
27/03/2013,182.134216
28/03/2013,184.215622
01/04/2013,183.421051
02/04/2013,185.131088
03/04/2013,183.662888
04/04/2013,182.496979
05/04/2013,180.856049
08/04/2013,180.77832
09/04/2013,180.691956
10/04/2013,183.092896
11/04/2013,183.887466
12/04/2013,182.557449
15/04/2013,180.726486
16/04/2013,183.092896
17/04/2013,181.080597
18/04/2013,178.904175
19/04/2013,164.092682
22/04/2013,162.218582
23/04/2013,165.483139
24/04/2013,165.569489
25/04/2013,167.504105
26/04/2013,167.815002
29/04/2013,171.995056
30/04/2013,174.922791
01/05/2013,172.409607
02/05/2013,174.793259
03/05/2013,176.624161
06/05/2013,175.130081
07/05/2013,175.864182
08/05/2013,177.721039
09/05/2013,176.350067
10/05/2013,177.417328
13/05/2013,175.681931
14/05/2013,176.324036
15/05/2013,176.419464
16/05/2013,177.608215
17/05/2013,180.862091
20/05/2013,180.133224
21/05/2013,181.044266
22/05/2013,179.603928
23/05/2013,178.883759
24/05/2013,178.501953
28/05/2013,180.289444
29/05/2013,180.410858
30/05/2013,181.66037
31/05/2013,180.49765
03/06/2013,181.304565
04/06/2013,178.90979
05/06/2013,175.916229
06/06/2013,176.835983
07/06/2013,179.048615
10/06/2013,177.894592
11/06/2013,176.992188
12/06/2013,174.579987
13/06/2013,176.809937
14/06/2013,175.447662
17/06/2013,176.176559
18/06/2013,177.764435
19/06/2013,175.222092
20/06/2013,171.239365
21/06/2013,169.599426
24/06/2013,167.933441
25/06/2013,169.182922
26/06/2013,169.078812
27/06/2013,169.764297
28/06/2013,165.824982
01/07/2013,165.972458
02/07/2013,166.163345
03/07/2013,167.681839
05/07/2013,169.139526
08/07/2013,169.182922
09/07/2013,165.989822
10/07/2013,166.814102
11/07/2013,167.291336
12/07/2013,166.657959
15/07/2013,168.332611
16/07/2013,168.202469
17/07/2013,168.809814
18/07/2013,171.794693
19/07/2013,167.933441
22/07/2013,168.41069
23/07/2013,169.182922
24/07/2013,170.597275
25/07/2013,171.126541
26/07/2013,171.239365
29/07/2013,170.250214
30/07/2013,170.076675
31/07/2013,169.23497
01/08/2013,169.903122
02/08/2013,169.339142
05/08/2013,169.63414
06/08/2013,165.72081
07/08/2013,164.430206
08/08/2013,163.880829
09/08/2013,163.784943
12/08/2013,164.89241
13/08/2013,164.308121
14/08/2013,163.532059
15/08/2013,162.014679
16/08/2013,161.622299
19/08/2013,160.654327
20/08/2013,160.942078
21/08/2013,161.203735
22/08/2013,161.491455
23/08/2013,161.692047
26/08/2013,161.099075
27/08/2013,159.355011
28/08/2013,158.849228
29/08/2013,159.267807
30/08/2013,158.94516
03/09/2013,160.4189
04/09/2013,159.695084
05/09/2013,160.584564
06/09/2013,159.60788
09/09/2013,161.308334
10/09/2013,162.721069
11/09/2013,166.296371
12/09/2013,166.322525
13/09/2013,167.578247
16/09/2013,168.432861
17/09/2013,167.569519
18/09/2013,169.540329
19/09/2013,168.642105
20/09/2013,165.7034
23/09/2013,166.549271
24/09/2013,165.65976
25/09/2013,165.223801
26/09/2013,165.877792
27/09/2013,163.000015
30/09/2013,161.482758
01/10/2013,162.529221
02/10/2013,161.290909
03/10/2013,160.331665
04/10/2013,160.541
07/10/2013,158.71843
08/10/2013,155.849457
09/10/2013,158.116714
10/10/2013,161.125214
11/10/2013,162.337372
14/10/2013,163.043686
15/10/2013,161.029327
16/10/2013,162.834412
17/10/2013,152.457214
18/10/2013,151.541611
21/10/2013,150.739365
22/10/2013,152.57933
23/10/2013,153.276932
24/10/2013,155.04718
25/10/2013,154.218735
28/10/2013,154.654785
29/10/2013,158.814331
30/10/2013,157.096451
31/10/2013,156.276749
01/11/2013,156.294174
04/11/2013,157.201096
05/11/2013,155.090744
06/11/2013,157.09848
07/11/2013,157.808594
08/11/2013,157.79982
11/11/2013,160.333496
12/11/2013,160.500107
13/11/2013,160.920929
14/11/2013,159.74614
15/11/2013,160.605301
18/11/2013,161.727478
19/11/2013,162.411346
20/11/2013,162.358719
21/11/2013,161.429443
22/11/2013,158.948318
25/11/2013,156.879288
26/11/2013,155.450226
27/11/2013,156.905563
29/11/2013,157.528046
02/12/2013,155.599258
03/12/2013,154.371857
04/12/2013,154.073776
05/12/2013,154.371857
06/12/2013,155.765823
09/12/2013,155.581741
10/12/2013,155.28363
11/12/2013,153.600357
12/12/2013,151.995987
13/12/2013,151.496246
16/12/2013,155.923645
