Title,Timestamp,URL, Article
b"Daily Briefing: Italy - Europe's latest stalemate,8:44am GMT,https://uk.reuters.com/article/uk-europe-view-monday/daily-briefing-italy-europes-latest-stalemate-idUKKBN1GH0XY, LONDON (Reuters) - Germany's months-long political deadlock is over . As it emerged that members of the German SPD had voted to continue their grand coalition with Angela Merkel| Italian voters were on Sunday in the process of delivering a hung parliament. Once again the rejection of mainstream parties combined with the rise in anti-establishment forces| tinged with anti-immigrant and eurosceptic sentiment| is the driving factor. Although a rightist alliance led by ex-premier Silvio Berlusconi emerged with the biggest bloc of votes| none of Italy\xe2\x80\x99s three main factions look able to rule alone. Scenarios now include the creation of a more eurosceptic coalition| which would likely challenge EU budget restrictions and be little interested in further European integration| or swift new elections to try to break the deadlock. Winners include the anti-system 5-Star Movement| which saw its support soar to become Italy\xe2\x80\x99s largest single party| and the far-right anti-immigrant League| which did better than Berlusconi\xe2\x80\x99s Forza Italia. The full result should come later on Monday| but expect weeks of uncertainty now: Parliament will meet for the first time on March 23 and formal talks on forming a government won\xe2\x80\x99t start till early April. Slovakia's President Andrej Kiska on Sunday addressed the growing political crisis triggered by the as yet unresolved murder of an investigative journalist who was digging into corruption. While there has been no direct link to the government| the killing of Jan Kuciak has led to street protests by voters angry at what they see as widespread official graft. Kiska said the episode has led to a crisis of public trust in Prime Minister Robert Fico's three-party government and says there must be either personnel changes or early elections. Fico is rejecting any shake-up. MARKETS A weekend of European politics delivered some positive news from Germany| more negative news from Italy but the threat of a looming trade war remained the biggest weight on world markets. Germany\xe2\x80\x99s Social Democrats voted decisively to enter a grand coalition with Chancellor Merkel\xe2\x80\x99s conservatives| leaving the pro-European SPD with key finance and foreign ministries in a new government that\xe2\x80\x99s likely to take power later this month. Italy\xe2\x80\x99s election outcome was a lot messier as expected| with strong showings for anti-establishment parties but no groupings looking strong enough at this stage to form a stable government. A green traffic light is seen next to the Social Democratic Party headquarters in Berlin| March 4| 2018.  REUTERS/Hannibal Hanschke Euro/dollar moved about 40 ticks higher to just above $1.2360 on the Germany result late on Sunday| before reversing those gains and then slipping about 40 ticks to $1.2280 this morning as the Italian results came through. Euro/yen| however| fell to a six-month low. More directly| Italy\xe2\x80\x99s 10-year government bond yield jumped more than 10 basis points at one point early Monday| with the spread between Italy and Germany up 11 basis points. The myriad permutations and combinations of outcomes of the Italian vote are still being pored over as the results come in| with markets viewing gridlock and weeks of horse-trading broadly as expected| but the chance of biggest party Five Star taking some place in a new government as negative for the both the national budget and relations with Europe. Italy\xe2\x80\x99s benchmark stock index opened down about 2 percent with euro zone blue chip stocks also lower. But much of these losses were a follow-through from Asia| where bourses fell earlier on rising fears of an international trade war after last week\xe2\x80\x99s announcement by U.S. President Trump of likely U.S. trade tariffs on imported steel and aluminium.  Trump\xe2\x80\x99s move| which will finally be decided on April 11| drew a sharp response from around the globe| with the European Union among others pledging retaliatory measures. Auto stocks are seen opening down 2 percent after Trump threatened European automakers with a tax on imports. Whatever the individual company and sector impacts| investors fear an escalating tit-for-tat trade war would slow world growth and lift inflation generally. U.S. stock futures are down about 0.8 percent| with HK stocks down more than 2 percent| Seoul down more than 1 percent and Tokyo down 0.6 percent. Shanghai stocks bucked that trend| as China\xe2\x80\x99s annual National Congress got underway amid pledges to keep economic growth at 6.5 percent again this year. Dollar/yen was lower| hovering just above $1.05. \xc2\xa0\xe2\x80\x94 A look at the day ahead from European Economics and Politics Editor Mark John and EMEA markets editor Mike Dolan. The views expressed are their own. \xe2\x80\x94Our Standards:The Thomson Reuters Trust Principles.\n"
b'Thousands of British homes without water as snow thaw bursts pipes,8:42am GMT,https://uk.reuters.com/article/uk-britain-weather-water/thousands-of-british-homes-without-water-as-snow-thaw-bursts-pipes-idUKKBN1GH0YV,LONDON (Reuters) - Tens of thousands of households across Britain suffered water supply problems on Monday after pipes burst when snow thawed and normal weather conditions returned to the country.  The worst snowstorms in nearly 30 years had frozen water in pipes last week| water suppliers said| during a blast of Siberian cold dubbed\xe2\x80\x9cthe Beast from the East\xe2\x80\x9d| which ground planes| stopped trains| blocked roads and shut schools. Leaking pipes in London left 12|000 households without water or suffering from very low pressure on Monday| said Thames Water which was providing bottled water to customers at two locations. In nearby Kent| 5|000 households supplied by Southern Water had problems.   Severn Trent| a supplier of water to 4.3 million homes and businesses in the middle of England| said the number of burst pipes was up 4000 percent| while in Wales| Welsh Water said between 3|000 and 6|000 homes were being affected. Suppliers warned that water supplies would continue to face disruption on Monday as they worked to fix leaks and refill pipes.  Thames Water advised its 15 million customers to only use water where essential.  \xe2\x80\x9cWhere possible| take short showers rather than baths| do not leave taps running unnecessarily and only run washing machines and dish washers when you have a full load|\xe2\x80\x9d the company said in a statement on its website.  Our Standards:\n'
b'Tesco completes 4 billion pound takeover of Booker\xe2\x80\x8b,8:31am GMT,https://uk.reuters.com/article/uk-booker-m-a-tesco/tesco-completes-4-billion-pound-takeover-of-booker-idUKKBN1GH0RT,LONDON (Reuters) - Tesco\xe2\x80\x99s 4 billion pound takeover of Booker has completed| both companies said on Monday| creating a new powerhouse in Britain\xe2\x80\x99s 200 billion pound-a-year food market. The cash and shares deal to combine Tesco| Britain\xe2\x80\x99s biggest retailer| with Booker| the country\xe2\x80\x99s largest wholesaler| received court approval on Friday and is now in effect. The deal received regulatory approval in December and both sets of shareholders backed the plan last Wednesday. Booker shares have now been de-listed from the London Stock Exchange. For each Booker share Tesco offered 0.861 new Tesco shares and 42.6 pence in cash. Tesco shares closed Friday at 202 pence. FILE PHOTO: A branded sign is displayed outside of a Booker Wholesale store in London| Britain January 27| 2017. REUTERS/Neil Hall /File PhotoAnalysts noted that with a market capitalisation of just under 20 billion pounds| Tesco is now bigger than the whole of rivals Sainsbury\xe2\x80\x99s| Morrisons| Marks & Spencer and Ocado put together. Tesco will now start its\xe2\x80\x9cJoining Forces\xe2\x80\x9d programme to integrate the two businesses. Charles Wilson| formerly Booker\xe2\x80\x99s chief executive| takes over as CEO of Tesco\xe2\x80\x99s retail and wholesale operations in the UK and Ireland reporting to group CEO Dave Lewis. Stewart Gilliland| formerly Booker chairman| will become a non-executive director of Tesco. Our Standards:\n'
b'Ofgem to limit back billing to 12 months,8:07am GMT,https://uk.reuters.com/article/uk-britain-energy-ofgem/ofgem-to-limit-back-billing-to-12-months-idUKKBN1GH003,LONDON (Reuters) - Britain\xe2\x80\x99s energy suppliers will be banned from back billing customers for energy used more than 12 months ago| regulator Ofgem said on Monday. The move comes as pricing by Britain\xe2\x80\x99s energy firms is under political scrutiny and a week after\xc2\xa0a law\xc2\xa0was\xc2\xa0introduced aimed at capping bills. The new rule will come into effect at in May for domestic consumers and in November for microbusinesses| Ofgem said. The typical back bill - which can happen due to problems with a supplier\xe2\x80\x99s billing systems or from incorrect usage estimates \xe2\x80\x93 is 1|160 pounds| it said. \xe2\x80\x9cGetting billing right is an essential part of customer service| and it\xe2\x80\x99s unfair that consumers should be left out of pocket|\xe2\x80\x9d said Rob Salter-Church| Ofgem\xe2\x80\x99s interim senior partner for consumers and competition. Suppliers would still be able to recoup money past 12 months if customers behaviour has been unreasonable| such as blocking access for meter readings| Ofgem said. Britain\xe2\x80\x99s big six energy suppliers| controlling around 80 percent of the market are Centrica\xe2\x80\x99s () British Gas| SSE (SSE.L)| E.ON (EONGn.DE)| EDF Energy (EDF.PA)| Innogy\xe2\x80\x99s (IGY.DE) Npower and Iberdrola\xe2\x80\x99s (IBE.MC) Scottish Power. Our Standards:The Thomson Reuters Trust Principles.\n'
b'Testing the limits at home| Polish firms look abroad for growth,1h ago,https://uk.reuters.com/article/uk-poland-m-a/testing-the-limits-at-home-polish-firms-look-abroad-for-growth-idUKKBN1GH0Q1?il=0,GDYNIA| Poland (Reuters) - Trans Polonia Group faces a problem confronting many ambitious mid-sized Polish companies: it is starting to outgrow its home market.  The group\xe2\x80\x99s trucks already supply a quarter of the fuel delivered by road to filling stations across Poland| and Trans Polonia (TPG) has decided that to keep expanding it must look West. That means not simply serving foreign clients from a Polish base| but buying a presence abroad. Western companies| especially those in neighbouring Germany| have been investing in Poland since soon after the fall of communism. Now rapidly increasing amounts of investment capital are flowing in the opposite direction as firms like TPG try to get closer to customers in the biggest European economies. \xe2\x80\x9cIf you want to expand then you need to buy a company or companies which are located in the West|\xe2\x80\x9d TPG chief executive Dariusz Cegielski told Reuters. Based near the Baltic port of Gdansk| his group is considering potential targets in Germany| Belgium and the Netherlands with annual turnovers of more than 50 million euros (43.5 million pounds). Mid-sized companies in other central European countries have already had to make international pushes due to their relatively small domestic economies. By contrast| Polish firms have relied for longer on a home market whose population of 38 million is larger than that of the Czech Republic| Slovakia and Hungary combined. Despite robust economic growth| Polish companies now appear to be testing the limits of the local market. Direct investment abroad more than doubled between 2014 and 2016 alone to $6.4 billion| according to the United Nations trade agency UNCTAD. TPG already bought Poland\xe2\x80\x99s biggest fuel trucking company three years ago. Now it wants to expand beyond this domestic business into a more international industry: intermodal transportation of liquid chemicals| which uses tanks that can be loaded between ships| trains and trucks with container cranes. Western European petrochemical companies are active in eastern EU member states such as Poland| and further east in Russia. But for transport companies like TPG to tap into this business| they need to use established client relationships which have often been built up at a local level over many years. \xe2\x80\x9cThis you can achieve only via potential acquisitions. You cannot realise this through organic growth|\xe2\x80\x9d said Cegielski. TAKING THE LEAP While TPG is just getting started| some mid-sized Polish firms have already taken the leap| encouraging others. \xe2\x80\x9cSuccessful acquisitions by Polish companies...have made other Polish investors feel more confident to think about themselves as potential foreign investors|\xe2\x80\x9d Magdalena Komor| Manager in Mergers & Acquisitions at PwC in Warsaw| told Reuters. One example is household appliance maker Amica| which agreed to buy British kitchen appliance company CDA Group in 2015 for 24.3 million pounds. \xe2\x80\x9cPolish entrepreneurs who have found success in the domestic market have reached certain barriers to further development in Poland and need to think about foreign expansion|\xe2\x80\x9d Amica\xe2\x80\x99s deputy chief executive Piotr Skubel said. Some are moving beyond Europe. Drug maker Adamed Group took a controlling stake in Vietnamese pharmaceutical company Dat Vi Phu last year in one of the biggest investments by a Polish company in southeast Asia. Before that Adamed Group bought four companies in the Czech Republic and Slovakia. Trans Polonia Group tanker is pictured in this undated photo taken in Gdansk| Poland. Trans Polonia Group/Handout via REUTERSFor many of companies Germany is the ideal destination due to a shared border and the size of the country\xe2\x80\x99s market| said Stepan Flieger| head of EY\xe2\x80\x99s\xc2\xa0Czech M&A; team.   \xe2\x80\x9cGermany is a huge opportunity and Polish companies are starting to realise if you want to do business in Germany you cannot simply export. They will always prefer to buy from a German.\xe2\x80\x9d A temptation is to try to move some operations from a German acquisition back to Poland| where average wages were 44 percent lower in 2016| according to OECD data. \xe2\x80\x9cUsually when a manufacturing company invests abroad| let\xe2\x80\x99s say in Germany| ultimately it plans to relocate manufacturing to Poland where it can be done at lower cost| and to leave sales| distribution and more value-added activities in the country of the investment|\xe2\x80\x9d said Tomasz Pasiewicz| managing partner at Warsaw-based advisory firm Saski Partners.  This is a sensitive issue in the\xe2\x80\x9cMittelstand\xe2\x80\x9d| the mid-sized German companies that pride themselves on creating high quality jobs in the small towns where they are often based. Slideshow (3 Images)But Langendorf| a German truck trailer maker which Polish rival Wielton bought last year| says its experience has been positive. No jobs have been lost to Poland since Wielton agreed to buy the firm based in the former mining town of Waltrop for a maximum of 10 million euros. \xe2\x80\x9cOn the contrary| the workforce in Germany has grown since the takeover|\xe2\x80\x9d Langendorf spokesman Robert Otto said| adding that employees\xe2\x80\x99\xe2\x80\x9cinitial concerns were quickly dispelled\xe2\x80\x9d. \xe2\x80\x9cLangendorf has already taken over central tasks from the main group|\xe2\x80\x9d Otto said.\xe2\x80\x9cSales activities are being expanded significantly| which of course also means an increase in staff.\xe2\x80\x9d GOVERNMENT SUPPORT Poland\xe2\x80\x99s right-wing nationalist government is also playing a role. Since coming to power in 2015| it has slowed privatisations| moved to bring banks back under local control and come into conflict with the European Commission over a variety of issues including the independence of the judiciary. Amid the uncertainty| foreign direct investment into Poland has fallen from $14.3 billion in 2014 to $11.4 billion in 2016. But the ruling PiS party has made foreign expansion of Polish firms one of the priorities for promoting economic growth under its\xe2\x80\x9cStrategy for Responsible Development\xe2\x80\x9d. The Polish Investment and Trade Agency| which began operating in its current form in 2017| received 600 inquiries last year about possible foreign acquisitions.  \xe2\x80\x9cWe have set up an incomparably better support network for Polish small businesses over the past 12 to 13 months of this project than what was available to them in the past five or six years|\xe2\x80\x9d Executive Vice President Wojciech Fedko said.     Piotr Krupa| Founder and Chief Executive of Warsaw-listed debt collection company Kruk| said he has noticed a change in government attitudes. Kruk| which is valued at $1.17 billion on the Warsaw stock exchange| has recently made acquisitions in Spain and Italy to take advantage of the high number of non-performing loans in these countries following the global and euro zone crises. \xe2\x80\x9cIt\xe2\x80\x99s a little bit different than a few years ago|\xe2\x80\x9d Krupa told Reuters.\xe2\x80\x9cNobody wanted to help us and discuss Kruk| from government| about our expansion abroad. But today this government is more open for such activity and for entrepreneurs.\xe2\x80\x9d Our Standards:\n'
b'Italy stocks hit six-month low as voters spurn establishment parties,1h ago,https://uk.reuters.com/article/uk-europe-stocks/italy-stocks-hit-six-month-low-as-voters-spurn-establishment-parties-idUKKBN1GH102?il=0,MILAN (Reuters) - European shares inched up on Monday| held back by heavy losses among Italian stocks after a bigger than expected surge in support for anti-establishment parties in Sunday\xe2\x80\x99s election.  After hitting a 6-month low at the open| the pan-European STOXX 600 index was up 0.3 percent by 0825 GMT. Italy\xe2\x80\x99s FTSE MIB blue-chip index was down 1 percent| also a six-month low.  Gains in energy and materials stocks however supported the broader marker. They were helped by a rise in crude oil prices ahead of a meeting between OPEC and U.S. shale firms that raised expectations that producers would discuss further how to clear a global oil glut.  Italy faces a prolonged period of political instability after voters delivered a hung parliament in Sunday\xe2\x80\x99s election| spurning traditional parties and flocking to anti-establishment and far-right groups in record numbers.  \xe2\x80\x9cWe expect lengthy negotiations after these elections| which may lead to increased volatility of Italian assets|\xe2\x80\x9d said Matteo Ramenghi| CIO at UBS WM Italy. Italian banks| which are seen as a proxy for political risk given their large government bond holdings| hit their lowest in nearly two months| falling 1.4 percent. U.S. President Donald Trump on Saturday threatened European automakers with a tax on imports if the European Union retaliates against his plan to slap tariffs on aluminium and steel. In the auto sector| the top fallers were BMW and Daimler| down 1.8 and 1.1 percent respectively. AXA fell 5.1 percent| leading losers among euro zone blue chips| after Europe\xe2\x80\x99s second-biggest insurer agreed to buy property and casualty insurance company XL Group for around $15 billion.  Irish stocks fell after weak business and consumer sentiment data. The benchmark Dublin index dropped 2.2 percent| bringing its decline so far this year to 7.4 percent.  Our Standards:\n'
b'Italy faces political gridlock after 5-Star surges,1h ago,https://uk.reuters.com/article/uk-italy-election/italy-faces-political-gridlock-after-5-star-surges-idUKKCN1GG006?il=0,ROME (Reuters) - Italy faces a prolonged period of political instability after voters delivered a hung parliament on Sunday| spurning traditional parties and flocking to anti-establishment and far-right groups in record numbers. With votes counted from more than 75 percent of polling stations| it looked almost certain that none of the three main factions would be able to govern alone and there was little prospect of a return to mainstream government| creating a dilemma for the European Union. A rightist alliance including former prime minister Silvio Berlusconi\xe2\x80\x99s Forza Italia (Go Italy!) held the biggest bloc of votes. In a bitter personal defeat that appeared unlikely last week| the billionaire media magnate\xe2\x80\x99s party looked almost certain to be overtaken by its ally| the far-right League| which campaigned on a fiercely anti-migrant ticket. But the anti-establishment 5-Star Movement saw its support soar to become Italy\xe2\x80\x99s largest single party by far| and one of its senior officials said on Monday that forming a coalition without it would be impossible. The League\xe2\x80\x99s economics chief on Monday raised the possibility of an alliance with 5-Star. Any government based on that combination would be euro-sceptic| likely to challenge EU budget restrictions and be little interested in further European integration. Related CoverageMediaset shares fall after Berlusconi party disappoints in voteThe full result is not due until later on Monday and| with the centre-right coalition on course for 37 percent of the vote and 5-Star for 31 percent| swift new elections to try to break the deadlock are another plausible scenario. Despite overseeing a modest economic recovery| the ruling centre-left coalition trailed a distant third on 22 percent| hit by widespread anger over persistent poverty| high unemployment and an influx of more than 600|000 migrants over the past four years. Prolonged political stalemate could make heavily indebted Italy the focus of market concern in Europe| now that the threat of German instability has receded after the revival on Sunday of a grand coalition under Chancellor Angela Merkel. In early European trading| the euro dipped while investors dumped Italian government debt| with the yield on its 10-year bonds jumping 10 basis points.  \xe2\x80\x9cItaly is far from having sorted its long-standing problems| and now it will have new ones. Be prepared for long and complex negotiations|\xe2\x80\x9d said Lorenzo Codogno| a former chief economist at the Italian Treasury. Parliament will meet for the first time on March 23 and President Sergio Mattarella is not expected to open formal talks on forming a government until early April. 5-Star party leader Luigi Di Maio stands on the stage during the finally rally ahead of the March 4 elections in downtown Rome| Italy| March 2| 2018. REUTERS/Tony Gentile\xe2\x80\x9cITALY UNGOVERNABLE\xe2\x80\x9d  During two months of election campaigning| party leaders repeatedly ruled out any post-election tie-ups. However| Italy has a long history of finding a way out of apparently intractable political stalemate. The 5-Star once rejected talk of any power sharing| but it now says it is willing to discuss common policies but not negotiate over cabinet posts. Led by 31-year-old Luigi Di Maio| the movement was formed in 2009 and has fed off public fury over institutional corruption and economic hardship. Some have questioned whether other parties would be able to work with it. \xe2\x80\x9cDi Maio wins| Italy ungovernable|\xe2\x80\x9d was the front page headline on La Stampa newspaper. Slideshow (11 Images)Claudio Borghi| the League\xe2\x80\x99s economics chief| on Monday suggested that| with Berlusconi on course to lose the leadership of the centre right for the first time since he entered politics in 1994| a centre-right headed by League leader Matteo Salvini could find a modus vivendi with 5-Star. Borghi cited as an example the cancellation of a constitutional requirement to balance the budget. Meanwhile senior 5-Star member Riccardo Fraccaro said nobody would be able to govern without his party.\xe2\x80\x9cWe will ... (talk) with all the parties about what this country needs.\xe2\x80\x9d Five-Star and the League once shared strong anti-euro views. The League still says it wants to leave the single currency but 5-Star now says the time for quitting it has passed. Its flagship proposal in the election campaign was a minimum monthly income of up to 780 euros (697 pounds) for the poor| helping it draw massive support in the underdeveloped south. By contrast| Salvini and Berlusconi - heading for 18 percent and 14 percent respectively - appeared to have dominated the wealthier north| with the centre-left squeezed into a narrow stretch of central Italy. \xe2\x80\x9cWe did not anticipate this rationalisation of the electorate... We are going to have to ... find a response|\xe2\x80\x9d said senior PD politician Ettore Rosato. There was much speculation on Sunday night that PD leader and ex-prime minister Matteo Renzi would step down.  Anti-establishment parties have been on the rise across Europe since the 2008 financial crisis. Italy\xe2\x80\x99s mainstream parties have found it especially hard to contain voter anger| with the economy still 6 percent smaller than a decade ago and unemployment stuck at about 11 percent. Our Standards:The Thomson Reuters Trust Principles.\n'
b'Iran says missile work will continue despite Western pressure - Tasnim,1h ago,https://uk.reuters.com/article/uk-iran-missiles/iran-says-missile-work-will-continue-despite-western-pressure-tasnim-idUKKBN1GH11J?il=0,TEHRAN (Reuters) - Iran will press on with its missile programme regardless of Western pressure to halt it| a senior military commander was quoted on Monday as saying. \xe2\x80\x9cIran\xe2\x80\x99s missile programme will continue non-stop and foreign powers have no right to intervene on this issue|\xe2\x80\x9d the semi-official Tasnim news agency quoted Iranian Armed Forces spokesman Masoud Jazayeri as saying. He also said no Iranian official had permission to\xe2\x80\x9cdiscuss this issue with foreigners|\xe2\x80\x9d Tasnim reported. France\xe2\x80\x99s foreign minister was in Iran on Monday to reaffirm Europe\xe2\x80\x99s commitment to a nuclear deal reached between Iran and six major powers| but also to echo concerns raised by U.S. President Donald Trump who has threatened to quit the accord. \n'
b'Strong euro zone demand propels German engineering orders higher,1h ago,https://uk.reuters.com/article/uk-germany-economy-engineering-orders/strong-euro-zone-demand-propels-german-engineering-orders-higher-idUKKBN1GH113?il=0,BERLIN (Reuters) - German engineering orders jumped 14 percent in January from a year ago| driven by strong demand at home and from euro zone partners| the VDMA industry group said on Monday| a further sign that Europe\xe2\x80\x99s biggest economy is on track for solid growth. Contracts for\xe2\x80\x98Made in Germany\xe2\x80\x99 goods from both domestic and foreign customers jumped by 14 percent in real terms| VDMA said. While orders from countries outside the euro zone climbed 10 percent| those from countries in the single currency area jumped by 24 percent. In the less volatile November-January comparison| orders growth was only slightly weaker| rising 12 percent on the year| VDMA said| with domestic demand up 15 percent and foreign 10 percent higher. \xe2\x80\x9cThe recovery process for domestic investments is clearly continuing|\xe2\x80\x9d said VDMA chief economist Ralph Wiechers. Our Standards:\n'
b"Euro zone's economic roar lost some volume in February - PMI,1h ago,https://uk.reuters.com/article/uk-eurozone-economy-pmi/euro-zones-economic-roar-lost-some-volume-in-february-pmi-idUKKBN1GH10O?il=0,LONDON|   (Reuters) - The euro zone\xe2\x80\x99s economic boom paused last month as rising prices took a toll on demand| but the zone remains on course for its best growth in eight years| a survey showed on Monday. Growth was robust and broad| with countries across the region reporting expansion| welcome news to the European Central Bank as it looks to end its ultra-easy monetary policy. IHS Markit\xe2\x80\x99s Final Composite Purchasing Managers\xe2\x80\x99 Index| seen as a good overall indicator of growth for the euro zone| fell to 57.1 in February from January\xe2\x80\x99s 58.8 and down from the flash estimate of 57.5. January\xe2\x80\x99s reading was a level not seen since June 2006. But the slight slip last month leaves the PMI well above the 50 mark that separates growth from contraction. \xe2\x80\x9cThe euro zone economy looks to have hit a speed bump in February after a stellar start to the year. It\xe2\x80\x99s too early to read too much into the February fall in the PMI| and some pull-back from January\xe2\x80\x99s high was always on the cards|\xe2\x80\x9d said Chris Williamson| chief business economist at IHS Markit. Williamson said the PMI was consistent with GDP rising at a buoyant rate of 0.8 to 0.9 percent| which at the upper end would be the strongest since the second quarter of 2010.  Momentum in the bloc has peaked| according to a Reuters poll last week that predicted quarterly growth of 0.6 percent and said the ECB would drop its easing bias on stimulus by or at the June meeting [ECILT/EU]. Alongside growth| inflationary pressures also eased a little last month and the output price index dipped to 54.4 from 54.8. Inflation slowed to a 14-month low in February of 1.2 percent| well below the ECB\xe2\x80\x99s target of close to but below 2.0 percent| official data showed last week. New business came in at the weakest pace in six months and with prices still rising| activity in the bloc\xe2\x80\x99s dominant service industry took a hit. That index sank to 56.2 from 58.0| below an earlier estimate of 56.7. But suggesting February could be a blip| companies were more optimistic about the year ahead. The business expectations index climbed to a nine-month high of 68.2 from 68.0. Our Standards:\n"
